"EDNAME,C,80",2022 Population
Ardamine,4410
Balloughter,555
Ballybeg,630
Ballycanew,1227
Ballyellis,432
Ballygarrett,922
Ballylarkin,938
Ballynestragh,1381
Cahore,509
Coolgreany,1199
Courtown,3012
Ford,691
Gorey Rural,8365
Gorey Urban,3786
Huntingtown,365
Kilcomb,1180
Kilgorman,890
Killenagh,638
Killincooly,664
Kilnahue,488
Limerick,1056
Monamolin,878
Monaseed,725
Rossminoge,683
Wells,887
Wingfield,1045
Adamstown,675
Ballyanne,793
Ballyhack,1363
Barrack Village,104
Barronstown,636
Carnagh,546
Carrickbyrne,618
Clongeen,965
Clonleigh,463
Dunmain,329
Fethard,972
Horetown,678
Inch,602
Kilgarvan,433
Killesk,763
Kilmokea,886
Newbawn,579
New Ross Rural,4164
Oldcourt,741
Old Ross,498
Rathroe,922
Rochestown,265
Templeludigan,494
Templetown,840
Tintern,1744
Whitechurch,678
Whitemoor,621
Ardcavan,3011
Ardcolm,982
Artramon,807
Aughwilliam,587
Ballymitty,583
Bannow,1310
Bridgetown,963
Carrick,1831
Drinagh,1114
Duncormick,642
Forth,880
Glynn,609
Harperstown,560
Harristown,556
Kilbride,332
Kilcowan,525
Killag,508
Killinick,927
Killurin,768
Kilmore,2469
Kilpatrick,762
Kilscoran,1073
Lady's Island,625
Mayglass,600
Newcastle,537
Rathaspick,1818
Rosslare,2234
St. Helen's,2719
Tacumshin,507
Taghmon,1201
Tomhaggard,550
Wexford Rural,14194
Whitechurch,541
Arklow No. 1 Urban,10367
Arklow No. 2 Urban,3023
Bray No. 1,1876
Bray No. 2,6898
Bray No. 3,6606
Rathmichael (Bray),2348
Wicklow Urban,7102
Ballinguile,153
Baltinglass,3029
Blessington,4588
Burgage,2243
Donaghmore,463
Donard,586
Dunlavin,1580
Eadestown,215
Hartstown,270
Hollywood,820
Humewood,351
Imael North,257
Imael South,271
Kilbride,1093
Lackan,861
Lugglass,188
Rathdangan,498
Rathsallagh,291
Stratford,463
Talbotstown,456
The Grange,472
Tober,495
Togher,387
Tuckmill,314
Delgany,7707
Enniskerry,3173
Greystones,8137
Kilmacanoge,15082
Powerscourt,889
Altidore,388
Arklow Rural,1415
